"title","url","maker","type","year","km","price"
"selling for leaving country","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/27/selling-for-leaving-country-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-25","Mercedes-Benz","C-Class","2009","113,000","26000"
"Mercedes C200 GCC under warranty and service ...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/11/24/ms-tatiana-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-24","Mercedes-Benz","C-Class","2016","38,000","115000"
"Merc C200 Cabriolet AMG full option 2017 unde...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/14/merc-c200-cabriolet-amg-full-option-2017-u-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-23","Mercedes-Benz","C-Class","2017","69,000","189000"
"Mercedes C200 Full option with panorama","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/12/31/mercedes-c200-full-option-with-panorama-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-22","Mercedes-Benz","C-Class","2013","57,000","55000"
"MERCEDES BENZ C180 2006,COUPE HATCH BACK,ACCI...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/27/mercedes-benz-c180-2006-coupe-hatch-back-a-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-21","Mercedes-Benz","C-Class","2006","136,000","11000"
"MERCEDES C300 2015 AMG KIT IN GREAT CONDITION","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/3/mercedes-c300-2015-amg-kit-in-great-condit-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-20","Mercedes-Benz","C-Class","2015","27,000","88000"
"Mercedes C200 ///AMG 2018 GCC! WARRANTY 25/09...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/7/26/mercedes-c200-2018-5-years-dealer-warranty-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-19","Mercedes-Benz","C-Class","2018","39,620","159800"
"C63 low km 2015","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/12/14/c63-low-km-2015-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-18","Mercedes-Benz","C-Class","2015","22,000","208000"
"MERCEDES BENZ C300 //AMG 2017","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/9/mercedes-benz-c300-amg-2017-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-17","Mercedes-Benz","C-Class","2017","18,000","99000"
"0567779562,,,2014.C 63 AMG/// Edition 507.Und...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/12/29/2014c-63-amg-edition-507under-warrantytop--2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-16","Mercedes-Benz","C-Class","2014","91,000","139000"
"!!!2015  Mercedes Benz C300!!!","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/10/7/-2016-blue-mercedes-benz-c300--2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-15","Mercedes-Benz","C-Class","2015","60,000","78000"
"Amazing  Exclusive C200 CGI AMG// GCC//New Sh...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/17/amazing-amp-exclusive-c200-cgi-amg-gcclow--2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-14","Mercedes-Benz","C-Class","2013","159,000","46000"
"MERCEDES C200 2017 2083 PER MONTH AGENCY WARR...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/11/17/mercedes-c200-2017-2083-per-month-agency-w-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-13","Mercedes-Benz","C-Class","2017","58,000","133000"
