"title","url","maker","type","year","km","price"
"PORSCHE PANAMERA 4S - 2010 - GCC - ORIGNAL PA...","https://dubai.dubizzle.com/motors/used-cars/porsche/panamera/2019/1/27/porsche-panamera-4s-2010-gcc-orignal-paint-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-25","Porsche","Panamera","2010","160,000","68000"
"2015 Nissan XTerra off-road model - Mint Cond...","https://dubai.dubizzle.com/motors/used-cars/nissan/xterra/2019/1/16/2015-nissan-xterra-mint-condition-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-24","Nissan","Xterra","2015","116,000","63000"
"LR4 2016 V6 SC","https://dubai.dubizzle.com/motors/used-cars/land-rover/lr4/2019/1/16/almost-brand-new-lr4-2016-v6-sc-with-warra-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-23","Land Rover","LR4","2016","90,000","199000"
"VW Tiguan 2014 Model","https://dubai.dubizzle.com/motors/used-cars/volkswagen/tiguan/2018/6/20/vw-tiguan-2014-model-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-22","Volkswagen","Tiguan","2014","143,000","29500"
"Audi Q7 2013 Model S Line For Sale","https://dubai.dubizzle.com/motors/used-cars/audi/q7/2018/8/16/audi-q7-2013-model-s-line-for-sale-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-21","Audi","Q7","2013","117,000","69500"
"VERIFIED CAR! MERCEDES BENZ CLS 350 2014 - FU...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/cls-class/2019/1/14/verified-car-mercedes-benz-cls-350-2014-fu-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-20","Mercedes-Benz","CLS-Class","2014","54,000","109000"
"Mercedes E300 Model 2014 GCC Panaromic Roof O...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2019/1/25/mercedes-e300-model-2014-gcc-panaromic-roo-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-19","Mercedes-Benz","E-Class","2014","115,000","77000"
"QUATTRO SUPERCHARGED.AUDI Q7 S-LINE.FULL AUDI...","https://dubai.dubizzle.com/motors/used-cars/audi/q7/2018/12/16/quattro-superchargedaudi-q7-s-linefull-aud-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-18","Audi","Q7","2013","120,000","73000"
"Best deal Edge GCC full option","https://dubai.dubizzle.com/motors/used-cars/ford/edge/2019/1/27/best-deal-edge-gcc-perfect-condition-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-17","Ford","Edge","2007","131,000","13500"
"BMW M POWER 2017 convertible","https://dubai.dubizzle.com/motors/used-cars/bmw/m4/2019/1/22/bmw-m-power-2017-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-16","BMW","M4","2017","35,000","195000"
